133,214,0,142,201,0,156,190,0,168,180,0,172,160,0,162,135,0,153,106,0,142,83,0,133,62,0,127,48,0,117,33,0,111,22,0,103,14,0,95,8,0,88,3,0,91,1,0,100,0,0,109,0,0,112,0,0,117,0,1,120,0,2,123,0,3,128,0,6,132,0,8,137,0,12,140,0,15,145,0,19,147,0,22,153,0,27,156,0,31,0,0,0,0,0,0,0,0,0
111,214,0,120,201,0,133,190,0,144,180,0,156,172,0,162,156,0,153,125,0,142,99,0,133,75,0,127,59,0,117,42,0,111,29,0,103,19,0,95,11,0,88,5,0,91,2,0,100,0,0,109,0,0,112,0,0,117,0,0,120,0,1,123,0,1,128,0,3,132,0,5,137,0,8,140,0,10,145,0,13,147,0,15,153,0,19,156,0,23,0,0,0,0,0,0,0,0,0
92,214,0,100,201,0,112,190,0,122,180,0,135,172,0,145,162,0,153,145,0,142,115,0,133,89,0,127,71,0,117,51,0,111,37,0,103,25,0,95,15,0,88,8,0,91,4,0,100,1,0,109,0,0,112,0,0,117,0,0,120,0,0,123,0,0,128,0,1,132,0,2,137,0,4,140,0,6,145,0,9,147,0,10,153,0,13,156,0,16,0,0,0,0,0,0,0,0,0
74,214,0,83,201,0,95,190,0,103,180,0,115,172,0,125,162,0,140,153,0,142,133,0,133,105,0,127,84,0,117,62,0,111,45,0,103,31,0,95,20,0,88,11,0,91,6,0,100,3,0,109,1,0,112,0,0,117,0,0,120,0,0,123,0,0,128,0,0,132,0,1,137,0,2,140,0,3,145,0,5,147,0,6,153,0,9,156,0,10,0,0,0,0,0,0,0,0,0
47,214,0,53,201,0,63,190,0,71,180,0,80,172,0,89,162,0,102,153,0,114,142,0,128,133,0,127,114,0,117,87,0,111,66,0,103,48,0,95,32,0,88,20,0,91,13,0,100,8,0,109,4,0,112,2,0,117,0,0,120,0,0,123,0,0,128,0,0,132,0,0,137,0,0,140,0,0,145,0,1,147,0,1,153,0,2,156,0,3,0,0,0,0,0,0,0,0,0
35,214,0,42,201,0,50,190,0,57,180,0,66,172,0,75,162,0,87,153,0,98,142,0,111,133,0,123,127,0,117,100,0,111,78,0,103,57,0,95,40,0,88,26,0,91,18,0,100,11,0,109,7,0,112,4,0,117,2,0,120,1,0,123,0,0,128,0,0,132,0,0,137,0,0,140,0,0,145,0,0,147,0,0,153,0,1,156,0,1,0,0,0,0,0,0,0,0,0
25,214,0,31,201,0,38,190,0,45,180,0,53,172,0,61,162,0,72,153,0,82,142,0,93,133,0,106,127,0,117,115,0,111,92,0,103,68,0,95,49,0,88,33,0,91,23,0,100,16,0,109,10,0,112,6,0,117,4,0,120,2,0,123,1,0,128,0,0,132,0,0,137,0,0,140,0,0,145,0,0,147,0,0,153,0,0,156,0,0,0,0,0,0,0,0,0,0,0
18,214,0,23,201,0,29,190,0,34,180,0,42,172,0,50,162,0,59,153,0,68,142,0,79,133,0,91,127,0,103,117,0,111,106,0,103,80,0,95,57,0,88,40,0,91,29,0,100,21,0,109,15,0,112,10,0,117,6,0,120,4,0,123,3,0,128,1,0,132,0,0,137,0,0,140,0,0,145,0,0,147,0,0,153,0,0,156,0,0,0,0,0,0,0,0,0,0,0
12,214,0,16,201,0,21,190,0,26,180,0,33,172,0,38,162,0,47,153,0,55,142,0,66,133,0,77,127,0,88,117,0,100,111,0,103,93,0,95,68,0,88,48,0,91,37,0,100,28,0,109,21,0,112,14,0,117,10,0,120,7,0,123,5,0,128,3,0,132,2,0,137,1,0,140,0,0,145,0,0,147,0,0,153,0,0,156,0,0,0,0,0,0,0,0,0,0,0
1,214,0,3,201,0,5,190,0,8,180,0,11,172,0,15,162,0,21,153,0,27,142,0,35,133,0,42,127,0,52,117,0,62,111,0,73,103,0,85,95,0,88,79,0,91,64,0,100,53,0,109,44,0,112,34,0,117,27,0,120,22,0,123,18,0,128,14,0,132,11,0,137,9,0,140,7,0,145,5,0,147,4,0,153,3,0,156,2,0,0,0,0,0,0,0,0,0,0
0,214,0,0,201,0,1,190,0,2,180,0,4,172,0,6,162,0,10,153,0,14,142,0,20,133,0,26,127,0,34,117,0,42,111,0,51,103,0,62,95,0,74,88,0,91,88,0,100,77,0,109,66,0,112,54,0,117,45,0,120,37,0,123,33,0,128,27,0,132,23,0,137,19,0,140,16,0,145,14,0,147,12,0,153,10,0,156,8,0,0,0,0,0,0,0,0,0,0
0,214,1,0,201,0,0,190,0,0,180,0,2,172,0,3,162,0,6,153,0,10,142,0,14,133,0,19,127,0,26,117,0,34,111,0,42,103,0,52,95,0,64,88,0,82,91,0,100,91,0,109,79,0,112,66,0,117,55,0,120,48,0,123,42,0,128,36,0,132,31,0,137,27,0,140,23,0,145,19,0,147,18,0,153,15,0,156,13,0,0,0,0,0,0,0,0,0,0
0,214,11,0,201,7,0,190,3,0,180,2,0,172,0,0,162,0,0,153,0,2,142,0,4,133,0,6,127,0,10,117,0,15,111,0,21,103,0,28,95,0,37,88,0,50,91,0,71,100,0,95,109,0,112,109,0,117,96,0,120,85,0,123,78,0,128,69,0,132,62,0,137,55,0,140,51,0,145,46,0,147,42,0,153,39,0,156,36,0,0,0,0,0,0,0,0,0,0
0,214,17,0,201,11,0,190,7,0,180,4,0,172,1,0,162,0,0,153,0,0,142,0,2,133,0,4,127,0,7,117,0,11,111,0,15,103,0,22,95,0,30,88,0,41,91,0,59,100,0,80,109,0,99,112,0,117,112,0,120,100,0,123,92,0,128,83,0,132,75,0,137,68,0,140,63,0,145,57,0,147,54,0,153,50,0,156,46,0,0,0,0,0,0,0,0,0,0
0,214,24,0,201,17,0,190,11,0,180,7,0,172,4,0,162,2,0,153,0,0,142,0,0,133,0,2,127,0,4,117,0,7,111,0,11,103,0,17,95,0,23,88,0,34,91,0,49,100,0,67,109,0,84,112,0,105,117,0,120,117,0,123,109,0,128,99,0,132,91,0,137,83,0,140,77,0,145,71,0,147,67,0,153,63,0,156,59,0,0,0,0,0,0,0,0,0,0
0,214,33,0,201,25,0,190,16,0,180,11,0,172,7,0,162,4,0,153,1,0,142,0,0,133,0,0,127,0,2,117,0,4,111,0,8,103,0,12,95,0,18,88,0,27,91,0,40,100,0,55,109,0,71,112,0,89,117,0,105,120,0,120,123,0,128,115,0,132,106,0,137,99,0,140,92,0,145,85,0,147,82,0,153,77,0,156,72,0,0,0,0,0,0,0,0,0,0
0,214,72,0,201,57,0,190,42,0,180,33,0,172,23,0,162,16,0,153,10,0,142,6,0,133,2,0,127,1,0,117,0,0,111,0,1,103,0,3,95,0,7,88,0,11,91,0,18,100,0,28,109,0,38,112,0,51,117,0,62,120,0,73,123,0,87,128,0,100,132,0,117,137,0,132,140,0,145,142,0,147,137,0,153,132,0,156,125,0,0,0,0,0,0,0,0,0,0
