26,247,255,0,247,23,0,0,0,0,0,0,26,0,247,26,0,247,22,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,247,5,0,247,5,0,247,5,26,0,247,26,0,247,0,247,5,0,247,5,0,247,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,0,0,0,0,0,0,0,247,5,26,247
26,247,255,26,247,255,26,247,255,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,247,5,0,247,5,0,247,5,0,247,5,0,247,5,0,247,5,0,0,0,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,26,247,255,26,247,255,26,247
3,247,95,26,247,255,26,247,255,0,1,0,0,0,0,0,0,0,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,5,0,247,5,0,247,5,0,247,5,0,247,5,0,0,0,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,8,0,80,0,0,0,0,0,0,26,247,255,26,247,255,26,247
0,247,5,0,247,5,26,247,255,26,247,255,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,0,247,5,0,247,5,0,247,5,0,247,5,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,26,247,255,26,247,255,0,247,5,0,247
0,247,5,0,247,5,0,247,5,26,247,255,26,247,255,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,0,247,5,0,247,5,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,247,255,26,247,255,0,247,5,0,247,5,0,247
26,247,255,0,247,5,0,247,5,0,247,5,26,247,255,26,56,252,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,0,247,5,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,26,0,247,26,247,255,13,247,180,0,247,5,0,247,5,26,247
26,247,255,26,247,255,0,247,5,0,247,5,0,247,5,26,247,255,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,247,255,0,247,5,0,247,5,0,247,5,26,247,255,26,247
26,0,247,26,247,255,26,247,255,0,247,5,0,247,5,0,247,5,26,247,255,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,26,0,247,26,29,255,26,247,255,0,247,5,0,247,5,26,247,255,26,247,255,26,247
50,247,255,26,247,255,26,247,255,26,247,255,0,247,5,0,247,5,0,247,5,26,245,255,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,247,5,0,247,5,0,247,5,26,247,255,26,247,255,26,247,255,26,247
0,247,5,26,247,255,26,247,255,26,247,255,26,247,255,0,247,5,0,247,5,0,247,5,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,247,5,0,247,5,0,247,5,26,247,255,26,247,255,26,247,255,26,0,247,0,247
0,247,5,0,247,5,26,0,247,26,247,255,26,247,255,26,247,255,0,247,5,0,247,5,0,247,5,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,247,5,0,247,5,0,247,5,26,247,255,26,247,255,26,247,255,26,247,255,0,247,5,0,247
0,247,5,0,247,5,0,247,5,26,247,255,26,247,255,26,247,255,26,247,255,0,247,5,0,247,5,0,247,5,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,247,5,0,247,5,26,247,255,26,247,255,26,247,255,26,247,255,0,247,5,0,247,5,0,247
0,247,5,0,247,5,0,247,5,0,0,0,26,247,255,26,247,255,26,250,255,26,247,255,0,247,5,0,247,5,0,0,0,26,0,247,26,0,247,26,0,247,0,0,0,0,0,0,0,0,0,26,0,247,26,0,247,0,0,0,0,247,5,0,247,5,26,247,255,26,247,255,26,247,255,26,247,255,0,0,0,0,247,5,0,247,5,0,247
